id;description;price;duration;session_dt;category;username;partner_id
1;secured line Producer niches;50502;6050;2021-04-02T19:46:44;GYM;Berkshire digital;75060
2;Web Optimization;92022;30116;2021-04-03T02:15:42;DANCE;niches Alaska;60098
3;Taka Salad;62806;89638;2021-04-03T00:51:10;DANCE;Computers;8321
4;next-generation Silver;71734;71285;2021-04-02T19:14:20;PILATES;TCP RSS bluetooth;23537
5;Tuna alarm Shoes;22273;11560;2021-04-03T11:19:35;SWIMMING;Alley;24324
6;e-markets;35629;39511;2021-04-02T13:38:49;SPIN;Credit Card Account;92770
7;Ridge monitoring;67649;98044;2021-04-03T07:14:22;DANCE;Specialist Bacon Savings Account;51036
8;Streamlined Morocco;72511;78171;2021-04-03T10:02:03;YOGA;attitude-oriented online proactive;27539
9;Trafficway;76596;45966;2021-04-02T18:56:58;DANCE;Coordinator program solid state;37230
10;programming Manager Identity;38478;36203;2021-04-02T19:08:11;YOGA;white;92234
